ticker_query,title,source,time_published,overall_sentiment_label,overall_sentiment_score,local_keyword_sentiment,summary,url
META,BMO prices US$1.243M autocallable notes linked to META | BMO Prospectus Summary,Stock Titan,20260420T203751,Neutral,0.053976,-2,"BMO has priced US$1.243 million in autocallable barrier notes linked to Meta Platforms, Inc. Class A common stock. These notes offer a 4.50% quarterly contingent coupon if META's stock closes above a specified barrier, but investors risk losing principal if the stock performance falls below the trigger level at maturity. The estimated initial value of the notes is $984.28 per $1,000 principal amount, reflecting market conditions and credit spreads.",https://www.stocktitan.net/sec-filings/BMO/424b2-bank-of-montreal-can-prospectus-supplement-5441939e19d0.html
NVDA,BofA Finance (BAC) prices $2.744M Auto‑Callable Notes linked to AMZN/CRWD/NVDA/UNH,Stock Titan,20260420T203705,Neutral,-0.051266,-2,"BofA Finance LLC has priced $2.744 million of Contingent Income Auto-Callable Yield Notes due April 21, 2031, with payments linked to the performance of Amazon.com, Inc. (AMZN), CrowdStrike Holdings, Inc. (CRWD), NVIDIA Corporation (NVDA), and UnitedHealth Group Incorporated (UNH). These notes offer monthly contingent coupons and are subject to automatic calls starting April 16, 2027. Investors face credit risk from BofA Finance and Bank of America Corporation, and potential loss of up to 100% of principal if the least performing underlying stock falls below a 50% threshold.",https://www.stocktitan.net/sec-filings/BAC/424b2-bank-of-america-corp-de-prospectus-supplement-f757ae52e839.html
AAPL,"Apple says John Ternus will be new CEO, Tim Cook to step aside later this year",NBC News,20260420T203557,Neutral,-0.123777,0,"Apple has announced that John Ternus, its senior vice president of hardware engineering, will succeed Tim Cook as CEO, effective September 1. Cook, who led Apple for 15 years, will transition to executive chairman. Under Cook's leadership, Apple's market value soared to over $4 trillion, though the company has recently faced challenges in AI adoption and in the virtual reality market.",https://www.nbcnews.com/business/business-news/apple-ceo-john-ternus-time-cook-rcna341096
AAPL,Apple elevates silicon leader Johny Srouji to run hardware engineering,Stock Titan,20260420T203003,Bullish,0.746914,0,"Apple has appointed Johny Srouji as its new chief hardware officer, expanding his previous role as senior vice president of Hardware Technologies. Srouji, recognized for his significant contributions to Apple's silicon strategy and the development of custom chips, will now lead Hardware Engineering. Both current CEO Tim Cook and incoming CEO John Ternus praised Srouji's leadership and impact on Apple's product innovations.",https://www.stocktitan.net/news/AAPL/johny-srouji-named-apple-s-chief-hardware-pug2iofqq1ek.html
NVDA,"Structured notes from Goldman Sachs (NYSE: GS) tied to TSMC, NVIDIA, Alphabet, Apple",Stock Titan,20260420T201137,Neutral,0.025455,-1,"Goldman Sachs Finance Corp., guaranteed by The Goldman Sachs Group, Inc., is offering callable structured notes linked to the performance of ADSs of Taiwan Semiconductor Manufacturing Company and common stocks of NVIDIA, Alphabet Class C, and Apple. These notes will pay monthly coupons that vary based on the performance of the underlying stocks, with potential automatic calls starting in April 2027 and a maturity date of April 23, 2031. Investors bear the credit risk of Goldman Sachs entities and do not hold shareholder rights in the referenced companies.",https://www.stocktitan.net/sec-filings/GS/424b2-goldman-sachs-group-inc-prospectus-supplement-da9ea8cd1a04.html
AMZN,"Ulta Beauty upgraded to Buy at Jefferies on improving makeup cycle, merchandising execution",Proactive financial news,20260420T201136,Somewhat-Bullish,0.155136,0,"Jefferies has upgraded Ulta Beauty (NASDAQ:ULTA) to a ""Buy"" rating, setting a price target of $700. This upgrade is driven by an improving makeup cycle, better merchandising strategies, and a more favorable cost outlook. The firm anticipates a sustained upswing in the makeup category, which accounts for 38% of Ulta's sales, and acknowledges Ulta's strengthened brand assortment and structural advantage as an ""index fund of beauty.""",https://www.proactiveinvestors.com/companies/news/1090869/ulta-beauty-upgraded-to-buy-at-jefferies-on-improving-makeup-cycle-merchandising-execution-1090869.html
AMZN,Costco Wholesale Corporation stock (US22160K1051): Is membership renewal strength still the key moat,AD HOC NEWS,20260420T201126,Somewhat-Bullish,0.230692,-1,"The article analyzes Costco Wholesale Corporation's business model, highlighting its membership-driven approach as a key differentiator. It discusses how Costco's focus on member fees over high product markups, private-label Kirkland products, and bulk sales contribute to its resilient revenue and customer loyalty. The piece also evaluates Costco's strategic alignment with current retail trends, competitive position against rivals, and risks for investors, concluding with what to watch for in future earnings reports.",https://www.ad-hoc-news.de/boerse/news/ueberblick/costco-wholesale-corporation-stock-us22160k1051-is-membership-renewal/69221518
NVDA,Power Integrations Jumps 5.6% Amid Sector-Wide Rally,AlphaStreet,20260420T201029,Bullish,0.370681,1,"Power Integrations (POWI) surged 5.6% to $61.91, driven by a broad sector-wide rally in semiconductor stocks rather than company-specific news. The rally saw other semiconductor companies like MaxLinear, Navitas Semiconductor, and Synaptics also post significant gains, indicating a shift in investor sentiment towards the sector. This increase occurred on elevated volume and followed a recent analyst price target raise for Power Integrations.",https://news.alphastreet.com/power-integrations-jumps-5-6-amid-sector-wide-rally/
AAPL,Myomo Introduces Myomo Mobile App to Enhance Clinical Workflow and Patient Engagement,Business Wire,20260420T200911,Somewhat-Bullish,0.296464,1,"Myomo, Inc. (NYSE American: MYO) has launched the Myomo® Mobile App to improve the MyoPro® experience for both clinicians and patients. The app provides clinicians with a streamlined interface for customizing EMG settings and monitoring patient usage, while offering patients real-time muscle activity insights and access to training resources. This development aims to make MyoPro care more intuitive, connected, and data-informed, reinforcing Myomo's commitment to enhancing the user experience.",https://www.businesswire.com/news/home/20260420253264/en/Myomo-Introduces-Myomo-Mobile-App-to-Enhance-Clinical-Workflow-and-Patient-Engagement
AMZN,RBC (RY) issues $2.98M Amazon‑linked auto‑callable notes with 10.30% coupon,Stock Titan,20260420T200910,Neutral,0.11619,-3,"Royal Bank of Canada (RBC) is offering $2.98 million in Auto-Callable Contingent Coupon Barrier Notes linked to Amazon.com, Inc. common stock, featuring an annualized contingent coupon of 10.30%. These notes offer monthly coupon payments if Amazon's stock meets a 63% Coupon Threshold and can be automatically called starting after six months. Investors face principal loss risk if the notes are not called and Amazon's stock falls below the 63% Barrier Value at maturity, and also bear the issuer’s credit risk.",https://www.stocktitan.net/sec-filings/RY/424b2-royal-bank-of-canada-prospectus-supplement-e5fb42d85680.html
META,Javier Olivan sells multiple META (NASDAQ: META) Class A share blocks,Stock Titan,20260420T200506,Neutral,-0.037961,0,"Javier Olivan, an affiliate of Meta Platforms, Inc. (META), reported multiple open-market dispositions of Class A common stock via a Form 144 filing. The sales occurred between January 20, 2026, and April 13, 2026, with individual transactions ranging from 517 to 4,665 shares. The filing details the gross proceeds from these sales, with the largest listed sale on April 13, 2026, generating $2,936,559.00 from 4,665 shares.",https://www.stocktitan.net/sec-filings/META/144-meta-platforms-inc-sec-filing-5da6156bd56d.html
MSFT,"If You Invested $1000 in Micron a Decade Ago, This is How Much It'd Be Worth Now",qz.com,20260420T193811,Somewhat-Bullish,0.195439,3,"An investment of $1000 in Micron (MU) a decade ago would now be worth $42,569.69, a gain of 4,156.97%. This significantly outperforms the S&P 500 and gold over the same period. Micron, a leading provider of semiconductor memory solutions, is expected to see continued upside due to its position in the AI-driven memory market and strong demand for HBM.",https://qz.com/if-you-invested-1000-in-micron-a-decade-ago-this-is-how-much-it-d-be-worth-now
NVDA,Nvidia CEO Jensen Huang: 'Most people will lose their job to somebody who uses AI'—not to AI itself,Fast Company,20260420T193800,Bullish,0.552747,0,"Nvidia CEO Jensen Huang believes that artificial intelligence will not destroy jobs but rather enable people to do more and better work. He argues that individuals are more likely to lose their jobs to people who effectively use AI, rather than to AI itself. Huang emphasizes the importance of everyone embracing and utilizing AI to stay competitive in the evolving job market.",https://www.fastcompany.com/91529563/nvidia-ceo-jensen-huang-most-people-will-lose-their-job-to-somebody-who-uses-ai-not-to-ai-itself
AMZN,Netflix's Global Expansion Still Wide Open: More Upside Ahead?,qz.com,20260420T193759,Somewhat-Bullish,0.203505,3,"Netflix is poised for significant growth, targeting 1 billion users, as it currently reaches less than 45% of broadband households and holds only 5% of global TV viewership, with management estimating a $670 billion addressable market. International expansion, particularly in Asia-Pacific, and diversified revenue streams like advertising, are key drivers. Despite facing stiff competition from Amazon and Disney, Netflix's scale and monetization efforts position it for continued growth, though its valuation appears high compared to the industry.",https://qz.com/netflix-s-global-expansion-still-wide-open-more-upside-ahead
MSFT,"If You Invested $1000 in Texas Instruments a Decade Ago, This is How Much It'd Be Worth Now",qz.com,20260420T193631,Somewhat-Bullish,0.178025,2,"Investing $1,000 in Texas Instruments (TXN) a decade ago would have yielded a significant return, with the investment growing to $3,899.88 by April 20, 2026, representing a gain of 289.99%. This performance surpasses the S&P 500 and gold over the same period. Analysts are optimistic about TXN's future, citing strong data center demand, product portfolio expansion, and internal manufacturing focus, despite concerns about the industrial market and rising costs.",https://qz.com/if-you-invested-1000-in-texas-instruments-a-decade-ago-this-is-how-much-it-d-be-worth-now
AAPL,Here's How Much a $1000 Investment in Jabil Made 10 Years Ago Would Be Worth Today,qz.com,20260420T193545,Somewhat-Bullish,0.336102,1,"This article analyzes the hypothetical return of a $1000 investment in Jabil (JBL) made ten years ago. It details Jabil's business segments, key customers, and competitive landscape, highlighting that the investment would be worth $17,991.61 today, a gain of 1,699.16%. The piece also touches on analyst expectations for JBL, pointing to strong demand in key markets and efficient financial management, while also acknowledging competitive pressures and customer-concentration risk.",https://qz.com/here-s-how-much-a-1000-investment-in-jabil-made-10-years-ago-would-be-worth-today
MSFT,Here's How Much a $1000 Investment in Garmin Made 10 Years Ago Would Be Worth Today,qz.com,20260420T193541,Bullish,0.365969,3,"This article examines the hypothetical return of a $1000 investment in Garmin (GRMN) made ten years ago, showing it would be worth $6,332.47 today, a 533.25% gain. It highlights Garmin's business drivers across five segments and notes strong analyst expectations for future growth due to innovation and market expansion. The piece also includes a brief section on quantum computing as a potential future investment area.",https://qz.com/here-s-how-much-a-1000-investment-in-garmin-made-10-years-ago-would-be-worth-today
MSFT,Goldman Thrives in Volatile Markets: Trends Emerging From Q1 Results,qz.com,20260420T193538,Somewhat-Bullish,0.271295,3,"Goldman Sachs reported a strong first quarter in 2026, with net revenues of $17.22 billion, the second-highest in the firm's history, driven by client activity in volatile markets. Key contributors included a 19% increase in Global Banking & Markets revenues and record Equities trading revenues, alongside continued growth in Assets & Wealth Management. Peers JPMorgan and Morgan Stanley also showed strong Q1 results, benefiting from robust client engagement and trading activities despite rising non-interest expenses.",https://qz.com/goldman-thrives-in-volatile-markets-trends-emerging-from-q1-results
MSFT,"ServiceNow (NOW) Stock Is Up, What You Need To Know",TradingView,20260420T192603,Somewhat-Bullish,0.335977,1,"ServiceNow (NOW) stock rose 2.4% after introducing new AI-native solutions for the manufacturing value chain, despite renewed geopolitical uncertainties. The market views this news as meaningful but not fundamentally altering its perception of the company. Despite today's gains, ServiceNow's stock is down 33% year-to-date and 52.7% below its 52-week high from July 2025.",https://www.tradingview.com/news/stockstory:d0bde4d21094b:0-servicenow-now-stock-is-up-what-you-need-to-know/
NVDA,QUALCOMM Incorporated stock (US7475251036): Is AI chip demand strong enough to unlock new upside?,AD HOC NEWS,20260420T192442,Somewhat-Bullish,0.160507,4,"QUALCOMM's investment in AI-enabled Snapdragon processors positions it as a key player in the mobile and edge computing markets, offering investors exposure to high-growth tech. The company's dual business model, combining chip sales with high-margin licensing, provides diversified revenue streams and stability. While facing competition, QUALCOMM's strategic partnerships and focus on 5G and AI integration are expected to drive long-term growth and capital appreciation for investors, especially given its dividend consistency.",https://www.ad-hoc-news.de/boerse/news/ueberblick/qualcomm-incorporated-stock-us7475251036-is-ai-chip-demand-strong/69221045
NVDA,"Advanced Micro Devices, Inc. stock (US0079031078): Is AI compute demand strong enough to sustain AMD's growth edge?",AD HOC NEWS,20260420T191400,Somewhat-Bullish,0.334312,5,"This article examines whether the strong demand for AI compute can sustain AMD's growth, focusing on its business model, product growth drivers, and competitive position against rivals like Nvidia and Intel. It highlights AMD's strategic pivot to data centers and AI accelerators, its fabless model, and its significance for US and global English-speaking investors. The report also covers analyst views, which lean bullish on AMD's AI trajectory, and discusses potential risks such as supply chain dependencies and intensifying competition.",https://www.ad-hoc-news.de/boerse/news/ueberblick/advanced-micro-devices-inc-stock-us0079031078-is-ai-compute-demand/69220937
MSFT,Here's What Could Help Perdoceo Education (PRDO) Maintain Its Recent Price Strength,qz.com,20260420T191007,Bullish,0.427765,4,"Perdoceo Education (PRDO) is identified as a strong candidate for investors looking for fundamentally sound stocks with recent price strength, according to Zacks Investment Research's ""Recent Price Strength"" screen. Key factors supporting its potential for continued momentum include a 13.3% gain over 12 weeks, a 5.1% gain over four weeks, and its Zacks Rank #2 (Buy) rating, indicating positive earnings estimate revisions. The stock is currently trading at 84.7% of its 52-week High-Low Range, suggesting a potential breakout.",https://qz.com/here-s-what-could-help-perdoceo-education-prdo-maintain-its-recent-price-strength
AAPL,Knowles Corp stock (US49926D1090): Why Google Discover changes matter more now,AD HOC NEWS,20260420T190908,Somewhat-Bullish,0.267751,0,"Google's 2026 Discover Core Update is revolutionizing how investors access information on stocks like Knowles Corp (NYSE:KN) by delivering personalized financial content directly to their mobile feeds. This shift prioritizes proactive, mobile-first insights on audio tech, precision devices, and medtech developments, allowing retail investors to stay ahead without traditional searching. The update emphasizes high-quality, trustworthy content with clear metrics and visuals, making Knowles' deep dive into micro-acoustic, audio, and precision devices more discoverable to targeted investors.",https://www.ad-hoc-news.de/boerse/news/ueberblick/knowles-corp-stock-us49926d1090-why-google-discover-changes-matter-more/69220799
AMZN,Verizon Communications Inc. stock (US92343V1044): Why wireless network investments matter more now for steady returns?,AD HOC NEWS,20260420T190841,Somewhat-Bullish,0.156144,-1,"Verizon Communications Inc. is heavily investing in 5G and fiber optics to meet growing data demands, positioning itself for continued revenue and dividend stability, especially for U.S. investors. While facing competition from T-Mobile and AT&T, Verizon's focus on network reliability and strategic infrastructure deployments helps maintain its market position. The company's consistent dividends and role as essential infrastructure make it an attractive defensive holding, though heavy capital expenditure and competitive pressures remain key risks.",https://www.ad-hoc-news.de/boerse/news/ueberblick/verizon-communications-inc-stock-us92343v1044-why-wireless-network/69220881
NVDA,BlackBerry shares jump 13 per cent on expanded partnership with Nvidia,The Globe and Mail,20260420T190801,Bullish,0.819463,0,"BlackBerry Ltd.'s share price increased by 13 percent following the announcement of an expanded partnership with Nvidia. This collaboration will enable BlackBerry developers to create and deploy AI systems for Nvidia’s IGX Thor platform, which is designed for regulated environments like robotics and medical imaging. Formerly in the smartphone business, BlackBerry has transitioned to providing software for various technologies, while Nvidia is a prominent tech company known for its graphics processing units that power AI systems.",https://www.theglobeandmail.com/business/article-blackberry-shares-stock-nvidia-tech/
AMZN,"The Home Depot, Inc. stock (US4370761029): Why does its pro customer shift matter more now?",AD HOC NEWS,20260420T190748,Somewhat-Bullish,0.216509,0,"The Home Depot is strategically shifting its focus toward professional contractors, a move aimed at diversifying revenue and stabilizing earnings amidst fluctuating consumer spending in the housing market. This pivot offers higher-margin opportunities for investors, leveraging the company's scale and integrated business model to maintain a competitive edge. The article details Home Depot's core business, market drivers, competitive position, and analyst views, while also addressing key risks and catalysts for investors.",https://www.ad-hoc-news.de/boerse/news/ueberblick/the-home-depot-inc-stock-us4370761029-why-does-its-pro-customer-shift/69219900
AAPL,Apple May Have Hidden a Big Clue About the Future of Siri in This Graphic,Inc.com,20260420T190157,Somewhat-Bullish,0.316966,1,"Apple's recent WWDC 2026 graphic, featuring a glowing ""26,"" is sparking speculation about major updates to Siri. Reports suggest the glowing effect hints at Siri's new look and functionality within the iPhone's Dynamic Island, including a glowing border and cursor. These updates are expected to introduce an app-based chatbot interface, support third-party AI agents, and improve task management for Siri.",https://www.inc.com/chloe-aiello/apple-may-have-hidden-a-big-clue-about-the-future-of-siri-in-this-graphic/91333397
NVDA,"Micron Technology, Inc. stock (US5951121038): Is memory demand resilience strong enough for new upsi",AD HOC NEWS,20260420T183753,Bullish,0.352376,2,"This article examines whether Micron Technology's stock can sustain its upward trajectory, driven by strong demand for high-bandwidth memory (HBM) in AI and data center growth. It details Micron's competitive advantages in the consolidated memory market and its strategic shift towards high-margin products like HBM. The analysis also covers market drivers, risks, and investor relevance, especially for U.S. and English-speaking markets, emphasizing the company's role in domestic semiconductor resurgence and AI infrastructure.",https://www.ad-hoc-news.de/boerse/news/ueberblick/micron-technology-inc-stock-us5951121038-is-memory-demand-resilience/69220840
AMZN,"Amazon.com Inc., NVIDIA Corp. share losses contribute to Dow's nearly 150-point drop",MSN,20260420T183404,Neutral,0.021503,-3,"Losses for shares of Amazon.com Inc. and NVIDIA Corp. contributed to the Dow Jones Industrial Average's decline, with the Dow falling 149 points. Other technology and internet service companies, including Microsoft Corp. and Salesforce Inc., also experienced share price drops, further impacting the index.",https://www.msn.com/en-us/money/topstocks/amazon-com-inc-nvidia-corp-share-losses-contribute-to-dow-s-nearly-150-point-drop/ar-AA21jYV8
AMZN,Duke Energy proposal for natural gas expansion near Amazon data center up for hearing,The Business Journals,20260420T182828,Neutral,0.133952,0,Duke Energy is proposing to add a natural gas unit at an existing complex near Amazon's new $10 billion data center in Richmond County. This proposal will be subject to a public hearing as Duke Energy seeks to increase rates to fund new generation construction to meet rising power demand. The article highlights the growing demand for energy from data centers and the ongoing discussions around their impact in North Carolina.,https://www.bizjournals.com/charlotte/news/2026/04/20/duke-energy-smith-natural-gas-amazon-data-center.html
NVDA,Plug Power Jumps 10% on Contract Win and Investor Outreach as Hydrogen Comeback Continues,24/7 Wall St.,20260420T181016,Somewhat-Bullish,0.318321,1,"Plug Power (PLUG) shares surged 10% to $3 on recent bullish catalysts including a new contract win for its electrolyzer business and active outreach to institutional and retail investors. The company reported improved revenue and a positive gross margin of 2% in Q4 2025, a significant turnaround from previous negative margins, and CEO Jose Luis Crespo laid out a roadmap to profitability by the end of 2028. Despite this momentum, analysts maintain a cautious ""Hold"" rating with a consensus price target below the current trading level, highlighting real risks such as an accumulated deficit and net loss in fiscal year 2025.",https://247wallst.com/investing/2026/04/20/plug-power-jumps-10-on-contract-win-and-investor-outreach-as-hydrogen-comeback-continues/
